timestamp,source_chain,destination_chain,token,amount_usd,gas_price_gwei,network_congestion,bridge_latency_sec,bridge,fee_usd
2023-01-19 12:46:00,BSC,Avalanche,ETH,6417.52,111.12,0.6,51.09,Celer,9.84
2023-01-20 11:02:00,Avalanche,BSC,DAI,5919.18,172.89,0.61,41.23,Stargate,21.41
2023-02-04 06:08:00,Avalanche,Ethereum,USDT,6742.31,143.12,0.55,23.16,Celer,28.57
2023-02-16 23:15:00,Ethereum,Polygon,USDT,8324.61,125.62,0.98,31.42,Stargate,11.35
2023-01-24 18:41:00,Polygon,BSC,DAI,9038.35,122.04,0.56,38.3,Stargate,5.84
2023-01-09 09:24:00,BSC,Ethereum,ETH,2463.54,170.21,0.88,56.48,Hop,25.62
2023-01-04 08:57:00,Arbitrum,Ethereum,USDT,8198.17,112.68,0.68,21.73,Stargate,19.07
2023-01-15 14:12:00,Ethereum,BSC,ETH,7459.58,135.35,0.97,28.06,Celer,15.85
2023-02-12 04:16:00,Avalanche,BSC,ETH,4771.45,152.92,0.34,30.06,Wormhole,14.43
2023-02-28 03:26:00,Arbitrum,BSC,DAI,4848.29,127.62,0.77,17.09,Stargate,2.81
2023-02-11 22:17:00,Polygon,BSC,USDT,2253.58,192.89,0.65,32.31,Hop,27.13
2023-02-13 04:46:00,BSC,Polygon,DAI,6546.34,58.21,0.55,48.17,Celer,4.93
2023-01-15 09:50:00,Arbitrum,BSC,ETH,5552.83,96.75,0.99,38.55,Wormhole,1.39
2023-02-16 05:08:00,Polygon,Avalanche,USDC,741.2,39.63,0.52,6.72,Stargate,0.19
2023-02-24 08:56:00,BSC,Avalanche,ETH,9448.85,176.83,0.49,6.39,LI.FI,22.11
2023-01-18 16:13:00,Polygon,BSC,DAI,9906.49,190.29,0.71,54.05,Wormhole,11.49
2023-02-09 05:48:00,Ethereum,Ethereum,USDC,8122.7,104.08,0.6,30.69,Stargate,23.37
2023-02-08 03:50:00,Polygon,BSC,DAI,692.99,118.51,0.65,40.77,LI.FI,5.93
2023-01-25 10:56:00,BSC,Ethereum,DAI,6007.07,146.75,0.66,11.4,Celer,7.43
2023-02-07 18:51:00,Polygon,BSC,USDT,8939.83,176.23,0.42,34.59,Hop,13.48
2023-02-19 02:34:00,Arbitrum,Ethereum,ETH,7966.82,138.25,0.21,39.09,Hop,2.22
2023-01-12 22:39:00,Polygon,BSC,USDC,5669.51,182.83,0.18,33.01,Hop,14.89
2023-01-19 00:14:00,Ethereum,Arbitrum,USDT,512.94,37.86,0.15,52.42,Wormhole,7.65
2023-02-18 05:26:00,Arbitrum,Avalanche,USDC,3702.19,16.04,0.51,45.1,Celer,26.59
2023-02-12 07:31:00,Polygon,Ethereum,ETH,844.77,86.93,0.99,13.7,Celer,20.66
2023-03-01 14:17:00,Avalanche,Ethereum,ETH,601.16,22.76,0.2,45.64,Stargate,23.08
2023-01-02 13:41:00,BSC,Arbitrum,USDC,7165.32,143.1,0.28,37.48,Hop,23.09
2023-03-02 19:49:00,Polygon,Arbitrum,USDT,2934.82,76.97,0.77,48.51,Stargate,6.11
2023-01-17 23:56:00,Polygon,Avalanche,USDC,4021.53,156.27,0.98,33.8,Wormhole,9.09
2023-02-13 03:02:00,Arbitrum,BSC,ETH,7928.78,45.97,0.77,9.79,Stargate,13.36
2023-03-04 07:00:00,Avalanche,Ethereum,ETH,474.28,26.55,0.48,42.24,Stargate,7.32
2023-02-18 13:08:00,BSC,Avalanche,USDT,9846.46,89.55,0.42,15.21,Celer,4.11
2023-01-23 12:17:00,Ethereum,BSC,USDC,1201.92,22.25,0.65,57.96,Wormhole,17.43
2023-01-18 14:46:00,Arbitrum,Arbitrum,USDC,7390.78,11.11,0.38,29.09,Wormhole,2.58
2023-01-15 16:52:00,Avalanche,Polygon,DAI,1415.52,145.11,0.23,50.56,Celer,3.82
2023-01-11 05:19:00,Ethereum,Polygon,USDT,3423.9,31.4,0.91,24.12,Hop,3.14
2023-01-03 01:34:00,Polygon,Ethereum,USDT,92.92,97.31,0.46,50.16,Stargate,25.32
2023-02-08 12:42:00,Polygon,Polygon,USDT,4979.54,25.09,0.95,29.66,Hop,25.09
2023-02-09 09:33:00,Ethereum,Avalanche,DAI,4049.63,79.13,0.82,45.62,Celer,2.81
2023-02-26 05:08:00,Arbitrum,Arbitrum,DAI,4847.1,189.54,0.82,11.34,LI.FI,13.79
2023-02-18 09:11:00,Arbitrum,Polygon,USDT,3808.15,61.29,0.89,35.18,Wormhole,25.54
2023-01-05 17:03:00,Polygon,Polygon,USDT,6436.8,165.03,0.18,50.28,Celer,6.81
2023-02-17 02:09:00,Avalanche,Ethereum,DAI,2017.05,59.99,0.61,34.27,Wormhole,23.64
2023-01-19 07:08:00,Avalanche,BSC,USDT,3591.84,48.51,0.52,20.94,Stargate,25.04
2023-02-07 13:07:00,BSC,Arbitrum,USDT,7723.06,117.09,0.58,26.94,Hop,28.96
2023-01-20 04:59:00,Avalanche,Avalanche,USDT,1920.69,29.9,0.12,5.34,Hop,1.54
2023-02-24 06:07:00,Arbitrum,Arbitrum,DAI,5010.3,42.18,0.29,25.83,LI.FI,7.7
2023-01-12 22:18:00,Arbitrum,Avalanche,USDC,587.48,140.11,0.24,46.68,Stargate,4.58
2023-03-04 03:01:00,BSC,Arbitrum,USDT,8739.08,74.72,0.13,41.12,Wormhole,18.82
2023-03-10 14:35:00,BSC,Polygon,ETH,1062.5,199.85,0.86,44.17,Stargate,10.24
2023-02-24 18:03:00,Avalanche,Ethereum,USDC,8663.36,52.36,0.93,14.33,Hop,21.73
2023-01-04 10:08:00,Ethereum,BSC,DAI,1607.71,48.08,0.84,22.79,Celer,14.72
2023-02-17 01:58:00,Arbitrum,Arbitrum,USDT,4955.07,123.92,0.46,55.53,Hop,2.44
2023-02-02 05:56:00,Avalanche,Avalanche,USDC,1903.78,123.51,0.85,8.68,Celer,28.56
2023-02-24 08:31:00,Ethereum,Avalanche,ETH,1039.06,180.03,0.98,56.84,LI.FI,8.44
2023-02-15 08:37:00,Ethereum,Ethereum,USDT,6736.24,121.85,0.34,18.02,LI.FI,9.81
2023-01-22 20:04:00,Ethereum,Arbitrum,USDC,9629.3,172.41,0.28,27.52,LI.FI,11.66
2023-01-15 20:19:00,Ethereum,Ethereum,ETH,1584.54,50.85,0.3,31.92,Wormhole,11.76
2023-02-18 17:58:00,Ethereum,Avalanche,USDC,5377.6,167.2,0.39,41.23,Wormhole,13.26
2023-01-15 03:40:00,Polygon,Arbitrum,USDC,1591.98,181.55,0.86,25.23,LI.FI,9.39
2023-01-01 17:33:00,BSC,Arbitrum,ETH,2511.94,147.42,0.89,27.51,Stargate,0.32
2023-03-02 13:31:00,BSC,Avalanche,DAI,4481.93,102.38,0.17,20.04,Hop,29.12
2023-01-26 12:31:00,Arbitrum,Polygon,USDT,7907.87,119.0,0.45,13.85,LI.FI,8.15
2023-01-25 00:55:00,Polygon,Polygon,ETH,8685.46,65.49,0.4,10.19,Celer,6.33
2023-02-01 21:03:00,Ethereum,Ethereum,ETH,1893.05,27.64,0.33,24.73,Celer,3.25
2023-02-08 22:08:00,Arbitrum,Avalanche,ETH,2376.82,43.75,0.44,57.24,Stargate,3.13
2023-02-09 03:29:00,Polygon,Arbitrum,DAI,8212.66,85.22,0.37,16.84,LI.FI,29.02
2023-02-23 15:57:00,Polygon,Arbitrum,USDC,1904.82,116.21,0.51,59.15,LI.FI,17.79
2023-03-10 16:26:00,BSC,Ethereum,USDT,7747.07,55.42,0.78,44.53,LI.FI,4.91
2023-01-20 04:38:00,Polygon,Avalanche,USDC,7082.65,47.87,0.33,12.45,Celer,28.73
2023-02-09 00:05:00,Arbitrum,Polygon,ETH,5022.86,136.57,0.6,10.67,Hop,14.67
2023-03-06 05:03:00,Arbitrum,Ethereum,ETH,1223.54,150.63,0.92,18.61,Wormhole,3.22
2023-01-04 03:46:00,Avalanche,BSC,USDT,5760.46,187.45,0.22,5.79,Celer,9.54
2023-02-14 10:08:00,BSC,BSC,USDC,8506.17,187.57,0.92,41.74,Wormhole,28.59
2023-02-19 22:27:00,Polygon,BSC,ETH,3906.49,186.8,0.97,45.85,Hop,18.27
2023-02-04 19:03:00,BSC,BSC,USDC,4085.5,19.9,0.16,38.65,Hop,7.94
2023-03-04 15:37:00,Arbitrum,Ethereum,USDT,5259.36,174.86,0.37,55.94,Stargate,17.27
2023-03-05 14:43:00,Arbitrum,Ethereum,USDC,7832.65,73.61,0.75,6.99,Stargate,7.11
2023-03-06 21:35:00,Ethereum,Avalanche,USDC,2702.72,134.21,0.9,42.85,Hop,25.19
2023-02-04 01:17:00,Avalanche,Arbitrum,USDT,3743.82,72.82,0.25,8.49,LI.FI,5.75
2023-01-28 10:08:00,Avalanche,BSC,DAI,2385.3,29.96,0.95,26.36,Stargate,11.93
2023-02-23 12:34:00,Ethereum,Avalanche,USDT,3814.1,76.78,0.34,8.5,Hop,24.26
2023-02-08 15:59:00,Arbitrum,Polygon,USDT,5653.65,18.34,0.96,37.12,Wormhole,19.51
2023-01-15 14:21:00,Avalanche,Arbitrum,USDT,5682.53,183.39,0.35,29.49,Stargate,14.4
2023-02-03 03:48:00,Avalanche,Ethereum,USDC,8061.91,40.31,0.13,24.55,Wormhole,11.63
2023-02-11 02:17:00,Arbitrum,Arbitrum,DAI,2994.57,53.75,0.67,5.94,Celer,21.8
2023-03-02 07:40:00,Ethereum,Ethereum,USDT,5250.06,137.78,0.55,57.54,Wormhole,27.91
2023-03-02 03:47:00,Arbitrum,BSC,ETH,5867.19,182.52,0.72,50.04,Celer,19.84
2023-02-12 07:20:00,Polygon,Avalanche,DAI,3737.6,151.55,0.67,35.43,LI.FI,3.95
2023-02-22 20:22:00,Avalanche,Arbitrum,ETH,2834.61,131.59,0.84,25.35,Celer,4.15
2023-01-26 02:26:00,Arbitrum,Polygon,USDT,4932.57,83.3,0.54,10.63,Wormhole,26.07
2023-02-05 23:49:00,Polygon,Arbitrum,DAI,7618.03,74.37,0.42,44.06,Hop,21.28
2023-01-04 00:54:00,BSC,Ethereum,ETH,9075.56,108.78,0.96,54.53,Celer,4.16
2023-01-13 20:51:00,BSC,Arbitrum,USDT,1591.91,118.86,0.13,18.89,LI.FI,14.42
2023-02-11 20:20:00,BSC,Polygon,DAI,5463.74,170.75,0.72,52.82,Hop,29.03
2023-03-01 21:14:00,Avalanche,BSC,ETH,1398.03,144.31,0.43,54.28,Wormhole,21.56
2023-01-14 00:10:00,Arbitrum,Polygon,USDT,7040.71,74.85,0.25,18.99,Hop,16.02
2023-01-02 03:23:00,Avalanche,Arbitrum,USDT,8965.34,34.54,0.85,51.68,Wormhole,0.76
2023-02-10 22:08:00,Ethereum,Ethereum,DAI,1697.44,83.46,0.78,40.29,Hop,23.92
2023-02-01 21:42:00,Avalanche,Ethereum,ETH,7638.13,95.78,0.73,27.79,LI.FI,17.94
2023-01-13 07:01:00,Arbitrum,BSC,USDC,7396.21,128.98,0.79,37.59,Stargate,11.88
2023-01-24 00:16:00,BSC,BSC,ETH,4189.07,113.36,0.52,45.54,Stargate,3.14
2023-01-30 12:24:00,Arbitrum,Arbitrum,ETH,2875.12,86.21,0.16,49.54,Hop,25.88
2023-02-02 11:52:00,Arbitrum,Arbitrum,ETH,1158.3,114.01,0.33,21.89,Wormhole,17.3
2023-02-27 16:14:00,Arbitrum,BSC,USDC,5345.54,84.66,0.84,43.01,LI.FI,29.72
2023-01-29 17:14:00,Polygon,Polygon,USDT,722.92,61.16,0.75,6.48,Hop,29.8
2023-01-15 09:06:00,Polygon,Avalanche,USDC,6993.5,66.6,0.83,19.84,Celer,4.2
2023-01-20 03:09:00,Arbitrum,Polygon,USDC,1322.16,59.37,0.84,57.76,Hop,19.32
2023-01-07 11:09:00,BSC,Avalanche,DAI,4094.64,52.68,0.85,34.41,Celer,15.26
2023-01-07 21:44:00,Arbitrum,Polygon,DAI,7780.81,164.16,0.14,46.81,Wormhole,6.57
2023-01-02 09:31:00,BSC,BSC,DAI,5712.41,48.95,0.84,27.81,Wormhole,7.06
2023-01-31 09:42:00,Avalanche,Avalanche,ETH,3980.25,12.84,0.38,25.07,Celer,4.88
2023-02-27 07:47:00,Polygon,BSC,USDC,1412.38,19.13,0.28,21.3,Hop,25.34
2023-02-01 08:47:00,Avalanche,Arbitrum,ETH,8953.12,27.33,0.68,11.59,Stargate,27.63
2023-02-08 00:32:00,Avalanche,Avalanche,USDC,7212.96,186.76,0.72,58.61,Stargate,29.26
2023-02-22 06:39:00,Ethereum,Ethereum,DAI,5148.13,133.09,0.19,34.4,Wormhole,27.89
2023-01-14 01:12:00,Avalanche,BSC,USDT,6679.72,176.86,0.94,31.3,Hop,2.41
2023-03-02 08:28:00,Arbitrum,Arbitrum,USDT,8590.59,92.78,0.49,32.7,Stargate,26.36
2023-02-26 18:26:00,Arbitrum,Avalanche,ETH,8926.18,68.22,0.14,46.89,Celer,13.01
2023-01-24 21:52:00,Arbitrum,Avalanche,DAI,9060.21,11.07,0.69,59.44,LI.FI,29.52
2023-01-25 21:35:00,BSC,Avalanche,USDT,2800.54,19.08,0.48,42.7,Stargate,2.5
2023-01-09 13:44:00,Ethereum,Polygon,USDT,2284.35,102.11,0.5,55.59,Hop,4.8
2023-01-26 22:34:00,Arbitrum,Polygon,ETH,2811.27,126.75,0.15,43.48,Celer,15.05
2023-01-04 12:51:00,BSC,Avalanche,USDT,2177.4,73.17,0.13,24.99,Wormhole,0.72
2023-03-05 15:56:00,BSC,Avalanche,USDC,3257.86,105.66,0.85,56.82,Hop,24.09
2023-01-10 02:33:00,Avalanche,Arbitrum,DAI,7648.59,66.7,0.2,16.28,Stargate,14.7
2023-01-02 22:46:00,Arbitrum,Arbitrum,ETH,7828.42,153.96,0.66,43.21,Celer,26.24
2023-03-09 03:12:00,BSC,Avalanche,ETH,5937.84,101.01,0.47,34.14,LI.FI,3.49
2023-01-20 01:56:00,Polygon,Ethereum,ETH,9574.14,91.95,0.74,8.82,Stargate,25.96
2023-03-02 01:43:00,Avalanche,Polygon,USDC,7484.34,53.0,0.24,30.87,Hop,29.75
2023-02-09 01:17:00,BSC,Avalanche,ETH,1674.21,42.19,0.11,5.42,LI.FI,20.68
2023-01-15 18:36:00,Avalanche,Avalanche,USDC,2524.97,108.07,0.36,44.3,Stargate,3.93
2023-01-02 01:45:00,Ethereum,Avalanche,DAI,5564.4,128.24,0.18,41.29,Wormhole,20.37
2023-01-26 01:41:00,Avalanche,Arbitrum,USDC,5352.09,63.2,0.71,53.17,Wormhole,18.62
2023-01-31 22:24:00,BSC,BSC,USDC,548.26,91.63,0.63,14.72,LI.FI,26.68
2023-01-15 02:16:00,Polygon,BSC,USDC,7314.23,40.2,0.22,40.95,Hop,16.26
2023-02-28 16:19:00,Arbitrum,Arbitrum,USDT,7628.43,172.31,0.69,53.9,Stargate,7.57
2023-01-15 08:57:00,Arbitrum,Avalanche,USDT,7125.45,188.41,0.99,26.78,Celer,21.26
2023-02-19 04:35:00,BSC,BSC,ETH,1489.53,118.82,0.41,7.94,Wormhole,16.53
2023-02-11 02:31:00,BSC,Avalanche,DAI,5022.68,57.09,0.17,32.56,Celer,16.41
2023-01-29 16:11:00,Polygon,Ethereum,DAI,6780.2,81.35,0.56,43.89,Celer,12.98
2023-02-25 18:33:00,Ethereum,Arbitrum,ETH,2493.45,107.76,0.7,18.1,LI.FI,3.69
2023-03-05 12:25:00,Polygon,Ethereum,USDC,1826.53,60.53,0.74,31.28,Wormhole,6.02
2023-02-14 00:16:00,Polygon,Arbitrum,ETH,5006.12,161.46,0.62,38.81,Celer,24.11
2023-02-21 14:01:00,Polygon,Arbitrum,ETH,2724.52,41.02,0.18,49.7,Stargate,19.62
2023-01-11 01:46:00,Arbitrum,Polygon,DAI,6584.5,169.32,0.14,44.16,Hop,22.24
2023-01-25 18:12:00,Polygon,Arbitrum,USDT,4244.2,175.23,0.36,32.81,Celer,16.94
2023-02-13 03:49:00,BSC,Avalanche,ETH,9750.35,19.3,0.96,9.62,Celer,27.65
2023-01-28 08:58:00,Polygon,Avalanche,DAI,1726.78,96.97,0.68,45.21,Hop,6.9
2023-01-08 04:05:00,Polygon,BSC,ETH,855.62,93.52,0.36,41.85,Stargate,16.44
2023-01-23 16:36:00,Arbitrum,Avalanche,USDT,7672.35,118.93,0.77,18.33,LI.FI,4.69
2023-02-17 19:10:00,Arbitrum,Avalanche,ETH,5576.62,139.34,0.57,10.63,Hop,11.72
2023-02-28 13:51:00,BSC,Arbitrum,DAI,4063.82,14.05,0.1,52.08,Stargate,10.85
2023-01-11 16:09:00,Polygon,Arbitrum,USDC,6257.5,194.64,0.22,7.23,Celer,7.69
2023-01-14 19:25:00,Arbitrum,Arbitrum,DAI,5764.05,31.74,0.19,17.98,LI.FI,22.4
2023-03-01 10:57:00,Polygon,Ethereum,ETH,9002.19,92.91,0.3,8.57,Celer,19.58
2023-02-13 12:45:00,Polygon,Arbitrum,USDT,3440.76,102.1,0.86,28.29,Hop,12.95
2023-02-21 22:58:00,BSC,Arbitrum,USDC,3199.57,161.59,0.61,9.22,Celer,21.21
2023-01-29 20:44:00,Avalanche,Ethereum,USDC,9837.62,40.42,0.95,10.7,Stargate,0.29
2023-02-14 01:00:00,Ethereum,Arbitrum,ETH,4511.65,53.87,0.37,52.59,Celer,20.19
2023-02-11 11:25:00,Arbitrum,Arbitrum,USDT,1171.12,126.44,0.26,52.62,Wormhole,17.15
2023-02-14 10:52:00,Polygon,Arbitrum,USDC,931.73,66.15,0.38,25.3,Stargate,17.79
2023-01-07 13:20:00,BSC,Arbitrum,USDC,2628.03,145.63,0.9,59.58,Celer,26.9
2023-03-08 08:20:00,Polygon,Ethereum,DAI,7570.02,96.07,0.13,20.8,Celer,8.85
2023-01-27 13:37:00,Polygon,Polygon,USDC,4011.38,37.81,0.52,47.9,Stargate,17.31
2023-01-03 08:30:00,Arbitrum,Ethereum,USDT,4213.3,188.5,0.89,11.6,Hop,20.38
2023-02-07 15:42:00,Ethereum,Ethereum,ETH,430.09,43.4,0.63,9.91,Hop,10.74
2023-02-08 06:49:00,BSC,Polygon,ETH,4403.26,65.07,0.25,43.29,LI.FI,11.23
2023-03-08 07:53:00,BSC,BSC,ETH,631.55,185.08,0.9,47.17,Stargate,26.33
2023-01-19 11:47:00,Arbitrum,Arbitrum,USDT,9628.1,182.11,0.21,6.79,Wormhole,4.4
2023-01-20 05:38:00,Arbitrum,BSC,USDT,1951.24,136.54,0.58,12.88,Stargate,21.81
2023-01-06 07:50:00,BSC,Avalanche,DAI,8797.96,151.27,0.88,42.62,Celer,2.58
2023-01-23 23:00:00,Arbitrum,Ethereum,ETH,7442.6,142.16,0.62,38.79,Stargate,3.39
2023-01-05 03:21:00,Polygon,Avalanche,ETH,6458.71,25.86,0.31,22.22,Celer,24.03
2023-02-18 15:13:00,Ethereum,Arbitrum,USDC,1965.92,94.49,0.22,27.42,LI.FI,24.1
2023-03-02 17:09:00,BSC,Arbitrum,DAI,3087.07,101.92,0.99,10.26,LI.FI,13.95
2023-01-02 12:17:00,Arbitrum,Polygon,USDT,6433.17,150.44,0.64,35.34,Stargate,14.22
2023-01-13 10:29:00,BSC,Ethereum,USDT,4324.32,168.54,0.66,16.52,LI.FI,20.9
2023-03-07 19:52:00,Polygon,Polygon,ETH,4171.08,111.92,0.76,15.44,Celer,27.54
2023-02-24 10:11:00,BSC,BSC,ETH,2378.72,147.35,0.38,49.96,LI.FI,11.81
2023-01-14 15:16:00,BSC,Arbitrum,USDT,4412.31,109.75,0.18,31.23,Hop,10.1
2023-02-11 07:14:00,Arbitrum,BSC,USDC,7094.46,42.68,0.1,45.93,Celer,22.2
2023-03-07 16:29:00,Avalanche,Avalanche,DAI,9882.98,181.91,0.21,48.1,Celer,16.83
2023-02-25 06:35:00,Polygon,Arbitrum,DAI,8453.33,62.49,0.75,12.29,Celer,13.34
2023-02-02 01:27:00,Ethereum,Avalanche,USDC,2125.96,180.15,0.74,25.82,Stargate,21.19
2023-02-20 17:10:00,Ethereum,BSC,USDT,7394.16,58.67,0.41,29.99,Wormhole,13.8
2023-01-06 12:22:00,Polygon,Avalanche,USDT,8196.88,101.41,0.75,37.64,Celer,6.15
2023-02-13 05:57:00,Arbitrum,BSC,ETH,2132.58,141.86,0.85,45.38,Wormhole,26.72
2023-02-02 20:25:00,Ethereum,Arbitrum,USDT,1750.14,16.01,0.45,14.46,Celer,29.36
2023-02-03 10:51:00,BSC,Avalanche,ETH,6183.46,71.46,0.6,7.58,Celer,17.99
2023-02-15 14:37:00,Ethereum,Arbitrum,ETH,5982.37,69.7,0.14,27.0,Hop,22.22
2023-02-19 22:08:00,Ethereum,Ethereum,ETH,9410.65,20.84,0.42,46.33,Celer,25.7
2023-01-30 22:22:00,Polygon,Avalanche,DAI,5683.1,78.03,0.96,59.75,Wormhole,21.93
2023-02-18 12:48:00,Ethereum,Arbitrum,ETH,9000.92,146.48,0.2,20.86,Celer,15.65
2023-01-29 18:08:00,Polygon,Ethereum,DAI,3701.79,119.55,0.94,19.37,LI.FI,10.39
2023-01-20 14:23:00,Ethereum,Avalanche,USDC,9598.1,162.58,0.63,27.6,Hop,29.77
2023-01-23 21:17:00,BSC,Polygon,DAI,9275.68,109.84,0.9,46.47,Celer,22.44
2023-02-01 12:22:00,Ethereum,Arbitrum,USDC,4648.76,122.12,0.57,58.16,LI.FI,12.96
2023-01-02 08:29:00,Avalanche,Arbitrum,ETH,4233.78,10.76,0.75,10.24,Celer,15.63
2023-01-18 20:04:00,Avalanche,BSC,USDC,2379.69,165.02,0.66,53.08,Wormhole,16.19
2023-02-18 12:52:00,BSC,BSC,USDC,7639.82,193.8,0.92,23.69,LI.FI,26.0
2023-01-11 19:31:00,Avalanche,Polygon,DAI,482.12,136.85,0.52,52.93,Celer,21.18
2023-02-17 04:19:00,Arbitrum,Avalanche,DAI,5033.61,132.5,0.6,56.79,Celer,3.69
2023-01-23 10:17:00,Avalanche,Ethereum,USDT,703.9,6.39,0.86,9.62,LI.FI,16.71
2023-02-07 05:07:00,Avalanche,Avalanche,USDT,427.17,81.23,0.35,59.57,Wormhole,27.48
2023-02-11 13:42:00,BSC,Polygon,ETH,9301.57,158.15,0.11,22.89,LI.FI,10.07
